step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1,C,6,mol1_centered_solv_64,Water,0.01728,-0.01202,0.013,0.03567434,mol1_64_s_water_5,mol1_64_s_water_50,-40.28124778,-40.49470233,0.2164044406,0.21345455000000157,-40.4976522206,-0.00294989060000006
1,H,1,mol1_centered_solv_64,Water,-0.652929,-0.742375,-0.275619,-0.0028088,mol1_64_s_water_5,mol1_64_s_water_51,-40.28124778,-40.49470233,0.2164044406,0.21345455000000157,-40.4976522206,-0.00294989060000006
1,H,1,mol1_centered_solv_64,Water,-0.562603,0.917803,-0.158361,0.04078906,mol1_64_s_water_5,mol1_64_s_water_52,-40.28124778,-40.49470233,0.2164044406,0.21345455000000157,-40.4976522206,-0.00294989060000006
1,H,1,mol1_centered_solv_64,Water,0.297544,-0.130384,1.043117,0.01762571,mol1_64_s_water_5,mol1_64_s_water_53,-40.28124778,-40.49470233,0.2164044406,0.21345455000000157,-40.4976522206,-0.00294989060000006
1,H,1,mol1_centered_solv_64,Water,0.907104,-0.023209,-0.617229,0.07595318,mol1_64_s_water_5,mol1_64_s_water_54,-40.28124778,-40.49470233,0.2164044406,0.21345455000000157,-40.4976522206,-0.00294989060000006
3,C,6,mol1_centered_solv_63,Water,0.02068,-0.0116,0.0138,0.03570269,mol1_63_s_water_5,mol1_63_s_water_50,-40.29172744,-40.4944812,0.2056638377,0.20275376000000023,-40.497391277700004,-0.002910077700001068
3,H,1,mol1_centered_solv_63,Water,-0.649249,-0.743985,-0.280493,-0.00292883,mol1_63_s_water_5,mol1_63_s_water_51,-40.29172744,-40.4944812,0.2056638377,0.20275376000000023,-40.497391277700004,-0.002910077700001068
3,H,1,mol1_centered_solv_63,Water,-0.572823,0.906472,-0.164518,0.04013036,mol1_63_s_water_5,mol1_63_s_water_52,-40.29172744,-40.4944812,0.2056638377,0.20275376000000023,-40.497391277700004,-0.002910077700001068
3,H,1,mol1_centered_solv_63,Water,0.297346,-0.128678,1.042366,0.01836057,mol1_63_s_water_5,mol1_63_s_water_53,-40.29172744,-40.4944812,0.2056638377,0.20275376000000023,-40.497391277700004,-0.002910077700001068
3,H,1,mol1_centered_solv_63,Water,0.916797,-0.020617,-0.621726,0.07646204,mol1_63_s_water_5,mol1_63_s_water_54,-40.29172744,-40.4944812,0.2056638377,0.20275376000000023,-40.497391277700004,-0.002910077700001068
